time,id,angle
2018-06-03 10:04:01,12,1
2018-06-03 10:08:59,15,2
2018-06-03 10:11:01,15,1
2018-06-03 10:12:59,15,2
2018-06-03 10:13:59,17,2
2018-06-03 10:13:59,12,2
2018-06-03 10:15:01,20,1
2018-06-03 10:15:01,13,1
2018-06-03 10:16:01,15,1
2018-06-03 10:18:01,64,1
2018-06-03 10:18:31,64,2
2018-06-03 10:19:01,17,1
2018-06-03 10:19:13,64,1
2018-06-03 10:19:41,64,2
2018-06-03 10:20:01,64,1
2018-06-03 10:20:24,64,2
2018-06-03 10:29:20,64,1
2018-06-03 10:34:01,12,1
2018-06-03 10:34:59,20,2
2018-06-03 10:34:59,13,2
2018-06-03 10:50:01,20,1
2018-06-03 10:50:01,13,1
2018-06-03 11:09:59,13,2
2018-06-03 11:09:59,20,2
2018-06-03 11:13:59,14,2
2018-06-03 11:14:33,14,1
2018-06-03 11:15:21,14,2
2018-06-03 11:16:03,14,1
2018-06-03 11:16:21,14,2
2018-06-03 11:17:43,14,1
2018-06-03 11:25:01,13,1
2018-06-03 11:25:01,20,1
2018-06-03 11:44:59,13,2
2018-06-03 11:44:59,20,2
