time,cnt
1527991200.0,4
1527991201.0,4
1527991202.0,4
1527991203.0,4
1527991204.0,4
1527991205.0,4
1527991206.0,4
1527991207.0,4
1527991208.0,4
1527991209.0,4
1527991210.0,4
1527991211.0,4
1527991212.0,4
1527991213.0,4
1527991214.0,4
1527991215.0,4
1527991216.0,4
1527991217.0,4
1527991218.0,4
1527991219.0,4
1527991220.0,4
1527991221.0,4
1527991222.0,4
1527991223.0,4
1527991224.0,4
1527991225.0,4
1527991226.0,4
1527991227.0,4
1527991228.0,4
1527991229.0,4
1527991230.0,4
1527991231.0,4
1527991232.0,4
1527991233.0,4
1527991234.0,4
1527991235.0,4
1527991236.0,4
1527991237.0,4
1527991238.0,4
1527991239.0,4
1527991240.0,4
1527991241.0,4
1527991242.0,4
1527991243.0,4
1527991244.0,4
1527991245.0,4
1527991246.0,4
1527991247.0,4
1527991248.0,4
1527991249.0,4
1527991250.0,4
1527991251.0,4
1527991252.0,4
1527991253.0,4
1527991254.0,4
1527991255.0,4
1527991256.0,4
1527991257.0,4
1527991258.0,4
1527991259.0,4
1527991260.0,4
1527991261.0,4
1527991262.0,4
1527991263.0,4
1527991264.0,4
1527991265.0,4
1527991266.0,4
1527991267.0,4
1527991268.0,4
1527991269.0,4
1527991270.0,4
1527991271.0,4
1527991272.0,4
1527991273.0,4
1527991274.0,4
1527991275.0,4
1527991276.0,4
1527991277.0,4
1527991278.0,4
1527991279.0,4
1527991280.0,4
1527991281.0,4
1527991282.0,4
1527991283.0,4
1527991284.0,4
1527991285.0,4
1527991286.0,4
1527991287.0,4
1527991288.0,4
1527991289.0,4
1527991290.0,4
1527991291.0,4
1527991292.0,4
1527991293.0,4
1527991294.0,4
1527991295.0,4
1527991296.0,4
1527991297.0,4
1527991298.0,4
1527991299.0,4
1527991300.0,4
1527991301.0,4
1527991302.0,4
1527991303.0,4
1527991304.0,4
1527991305.0,4
1527991306.0,4
1527991307.0,4
1527991308.0,4
1527991309.0,4
1527991310.0,4
1527991311.0,4
1527991312.0,4
1527991313.0,4
1527991314.0,4
1527991315.0,4
1527991316.0,4
1527991317.0,4
1527991318.0,4
1527991319.0,4
1527991320.0,4
1527991321.0,4
1527991322.0,4
1527991323.0,4
1527991324.0,4
1527991325.0,4
1527991326.0,4
1527991327.0,4
1527991328.0,4
1527991329.0,4
1527991330.0,4
1527991331.0,4
1527991332.0,4
1527991333.0,4
1527991334.0,4
1527991335.0,4
1527991336.0,4
1527991337.0,4
1527991338.0,4
1527991339.0,4
1527991340.0,4
1527991341.0,4
1527991342.0,4
1527991343.0,4
1527991344.0,4
1527991345.0,4
1527991346.0,4
1527991347.0,4
1527991348.0,4
1527991349.0,4
1527991350.0,4
1527991351.0,4
1527991352.0,4
1527991353.0,4
1527991354.0,4
1527991355.0,4
1527991356.0,4
1527991357.0,4
1527991358.0,4
1527991359.0,4
1527991360.0,4
1527991361.0,4
1527991362.0,4
1527991363.0,4
1527991364.0,4
